Displacement:2	Points:0
1.20E-07	4.36
1.20E-07	4.368
1.21E-07	4.376
1.21E-07	4.384
1.21E-07	4.392
1.22E-07	4.4
1.22E-07	4.408
1.22E-07	4.416
1.23E-07	4.424
1.23E-07	4.432
1.24E-07	4.44
1.24E-07	4.448
1.24E-07	4.456
1.25E-07	4.464
1.25E-07	4.472
1.25E-07	4.48
1.26E-07	4.488
1.26E-07	4.496
1.26E-07	4.504
1.27E-07	4.512
1.27E-07	4.52
1.27E-07	4.528
1.28E-07	4.536
1.28E-07	4.544
1.29E-07	4.552
1.29E-07	4.56
1.29E-07	4.568
1.30E-07	4.576
1.30E-07	4.584
1.30E-07	4.592
1.31E-07	4.6
1.31E-07	4.608
1.31E-07	4.616
1.32E-07	4.624
1.32E-07	4.632
1.32E-07	4.64
1.33E-07	4.648
1.33E-07	4.656
1.34E-07	4.664
1.34E-07	4.672
1.34E-07	4.68
1.35E-07	4.688
1.35E-07	4.696
1.35E-07	4.704
1.36E-07	4.712
1.36E-07	4.72
1.36E-07	4.728
1.37E-07	4.736
1.37E-07	4.744
1.38E-07	4.752
1.38E-07	4.76
1.38E-07	4.768
1.39E-07	4.776
1.39E-07	4.784
1.39E-07	4.792
1.40E-07	4.8
1.40E-07	4.808
1.40E-07	4.816
1.41E-07	4.824
1.41E-07	4.832
1.42E-07	4.84
1.42E-07	4.848
1.42E-07	4.856
1.43E-07	4.864
1.43E-07	4.872
1.43E-07	4.88
1.44E-07	4.888
1.44E-07	4.896
1.44E-07	4.904
1.45E-07	4.912
1.45E-07	4.92
1.46E-07	4.928
1.46E-07	4.936
1.46E-07	4.944
1.47E-07	4.952
1.47E-07	4.96
1.47E-07	4.968
1.48E-07	4.976
1.48E-07	4.984
1.48E-07	4.992
1.49E-07	5
1.49E-07	5.008
1.50E-07	5.016
1.50E-07	5.024
1.50E-07	5.032
1.51E-07	5.04
1.51E-07	5.048
1.51E-07	5.056
1.52E-07	5.064
1.52E-07	5.072
1.53E-07	5.08
1.53E-07	5.088
1.53E-07	5.096
1.54E-07	5.104
1.54E-07	5.112
1.54E-07	5.12
1.55E-07	5.128
1.55E-07	5.136
1.55E-07	5.144
1.56E-07	5.152
1.56E-07	5.16
1.57E-07	5.168
1.57E-07	5.176
1.57E-07	5.184
1.58E-07	5.192
